78,s5,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0324,,0.0324,0.5712,,0.5712,0.6063,,0.6063,0.741,,0.741,1.0
79,s5,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0195,,0.0195,0.1817,,0.1817,0.5196,,0.5196,0.844,,0.844,1.0
80,s5,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0285,,0.0285,0.266,,0.266,0.2969,,0.2969,0.7717,,0.7717,1.0
81,s6,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.208,,0.208,0.6406,,0.6406,0.8659,,0.8659,0.974,,0.974,1.0
82,s6,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.259,,0.259,0.7978,,0.7978,0.8329,,0.8329,0.9676,,0.9676,1.0
83,s6,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.156,,0.156,0.3182,,0.3182,0.6561,,0.6561,0.9805,,0.9805,1.0
84,s6,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.2283,,0.2283,0.4657,,0.4657,0.4966,,0.4966,0.9715,,0.9715,1.0
85,s6,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.176,,0.176,0.5419,,0.5419,0.7326,,0.7326,0.824,,0.824,1.0
86,s6,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.2112,,0.2112,0.6504,,0.6504,0.679,,0.679,0.7888,,0.7888,1.0
87,s6,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1372,,0.1372,0.28,,0.28,0.5773,,0.5773,0.8628,,0.8628,1.0
88,s6,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1903,,0.1903,0.3882,,0.3882,0.4139,,0.4139,0.8097,,0.8097,1.0
89,s9,¦Á,¦Â,s11,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0828,,0.0828,0.4274,,0.4274,0.7863,,0.7863,0.9586,,0.9586,1.0
90,s9,¦Á,¦Â,s11,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.1207,,0.1207,0.6231,,0.6231,0.6885,,0.6885,0.9396,,0.9396,1.0
91,s9,¦Á,¦Â,s12,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0442,,0.0442,0.2278,,0.2278,0.6105,,0.6105,0.9779,,0.9779,1.0
92,s9,¦Á,¦Â,s12,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0689,,0.0689,0.3553,,0.3553,0.3926,,0.3926,0.9656,,0.9656,1.0
93,s9,¦Á,¦Â,s11,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0642,,0.0642,0.3313,,0.3313,0.6096,,0.6096,0.7432,,0.7432,1.0
94,s9,¦Á,¦Â,s11,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0849,,0.0849,0.438,,0.438,0.4839,,0.4839,0.6605,,0.6605,1.0
95,s9,¦Á,¦Â,s12,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0382,,0.0382,0.1973,,0.1973,0.5288,,0.5288,0.847,,0.847,1.0
96,s9,¦Á,¦Â,s12,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0555,,0.0555,0.2863,,0.2863,0.3164,,0.3164,0.778,,0.778,1.0
97,s10,¦Á,¦Â,s11,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.153,,0.153,0.4712,,0.4712,0.8027,,0.8027,0.9618,,0.9618,1.0
98,s10,¦Á,¦Â,s11,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.2155,,0.2155,0.6637,,0.6637,0.722,,0.722,0.9461,,0.9461,1.0
99,s10,¦Á,¦Â,s12,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.0846,,0.0846,0.2605,,0.2605,0.627,,0.627,0.9789,,0.9789,1.0
100,s10,¦Á,¦Â,s12,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.1289,,0.1289,0.3969,,0.3969,0.4318,,0.4318,0.9678,,0.9678,1.0
101,s10,¦Á,¦Â,s11,¦Á,¦Â,s17,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1207,,0.1207,0.3717,,0.3717,0.6331,,0.6331,0.7586,,0.7586,1.0
102,s10,¦Á,¦Â,s11,¦Á,¦Â,s18,¦Á,¦Â,s15,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1565,,0.1565,0.4819,,0.4819,0.5243,,0.5243,0.6871,,0.6871,1.0
103,s10,¦Á,¦Â,s12,¦Á,¦Â,s19,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.0737,,0.0737,0.2269,,0.2269,0.5462,,0.5462,0.8527,,0.8527,1.0
104,s10,¦Á,¦Â,s12,¦Á,¦Â,s20,¦Á,¦Â,s16,¦Á,¦Â,s14,¦Á,¦Â
,,0.0,0.1051,,0.1051,0.3238,,0.3238,0.3523,,0.3523,0.7897,,0.7897,1.0
105,s2,¦Á,¦Â,s3,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.2475,,0.2475,0.505,,0.505,1.0
106,s2,¦Á,¦Â,s4,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.1397,,0.1397,0.7207,,0.7207,1.0
107,s6,¦Á,¦Â,s7,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.312,,0.312,0.961,,0.961,1.0
108,s6,¦Á,¦Â,s8,¦Á,¦Â,s5,¦Á,¦Â
,,0.0,0.4619,,0.4619,0.9423,,0.9423,1.0
109,s10,¦Á,¦Â,s11,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.2793,,0.2793,0.8603,,0.8603,1.0
110,s10,¦Á,¦Â,s12,¦Á,¦Â,s9,¦Á,¦Â
,,0.0,0.2793,,0.2793,0.8603,,0.8603,1.0
111,s14,¦Á,¦Â,s15,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.6079,,0.6079,0.924,,0.924,1.0
112,s14,¦Á,¦Â,s16,¦Á,¦Â,s13,¦Á,¦Â
,,0.0,0.312,,0.312,0.961,,0.961,1.0
113,s5,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s3,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.0309,,0.0309,0.5447,,0.5447,0.8123,,0.8123,0.8765,,0.8765,1.0
114,s5,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s3,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.0403,,0.0403,0.7112,,0.7112,0.7549,,0.7549,0.8387,,0.8387,1.0
115,s5,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s4,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.0257,,0.0257,0.2391,,0.2391,0.6839,,0.6839,0.8974,,0.8974,1.0
116,s5,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s4,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.044,,0.044,0.4102,,0.4102,0.4578,,0.4578,0.824,,0.824,1.0
117,s6,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s3,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.2031,,0.2031,0.6256,,0.6256,0.8456,,0.8456,0.8984,,0.8984,1.0
118,s6,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s3,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.2515,,0.2515,0.7748,,0.7748,0.8088,,0.8088,0.8742,,0.8742,1.0
119,s6,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s4,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.174,,0.174,0.355,,0.355,0.732,,0.732,0.913,,0.913,1.0
120,s6,¦Á,¦Â,s8,¦Á,¦Â,s20,¦Á,¦Â,s4,¦Á,¦Â,s1,¦Á,¦Â
,,0.0,0.2691,,0.2691,0.5491,,0.5491,0.5855,,0.5855,0.8654,,0.8654,1.0
121,s5,¦Á,¦Â,s7,¦Á,¦Â,s17,¦Á,¦Â,s3,¦Á,¦Â,s2,¦Á,¦Â
,,0.0,0.0329,,0.0329,0.5805,,0.5805,0.8657,,0.8657,0.9342,,0.9342,1.0
122,s5,¦Á,¦Â,s7,¦Á,¦Â,s18,¦Á,¦Â,s3,¦Á,¦Â,s2,¦Á,¦Â
,,0.0,0.0439,,0.0439,0.7736,,0.7736,0.8211,,0.8211,0.9123,,0.9123,1.0
123,s5,¦Á,¦Â,s8,¦Á,¦Â,s19,¦Á,¦Â,s4,¦Á,¦Â,s2,¦Á,¦Â
,,0.0,0.027,,0.027,0.2521,,0.2521,0.7209,,0.7209,0.9459,,0.9459,1.0
